sentence,corrected_sentence,original_label,edit_distance_ratio,GAS_log_inv,GAS_corrected,GAS
The wagon rumbled down the road.,The wagon rumbled down the road.,1,0.0,13.815511557963774,3.716922323369668,1.0
The bullets whistled past the house.,The bullets whistled past the house.,1,0.0,13.815511557963774,3.716922323369668,1.0
The knee replacement candidate groaned up the stairs.,The knee replacement candidate groaned up the stairs.,1,0.0,13.815511557963774,3.716922323369668,1.0
The car honked down the road.,The car honked down the road.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
The dog barked out of the room.,The dog barked out of the room.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
The dog barked its way out of the room.,The dog barked its way out of the room.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill whistled his way past the house.,Bill whistled his way past the house.,1,0.0,13.815511557963774,3.716922323369668,1.0
The witch vanished into the forest.,The witch vanished into the forest.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill disappeared down the road.,Bill disappeared down the road.,1,0.0,13.815511557963774,3.716922323369668,1.0
The witch went into the forest by vanishing.,The witch went into the forest by vanishing.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
The witch went into the forest and thereby vanished.,The witch went into the forest and thereby vanished.,1,0.0,13.815511557963774,3.716922323369668,1.0
The building is tall and wide.,The building is tall and wide.,1,0.0,13.815511557963774,3.716922323369668,1.0
The building is tall and tall.,The building is tall and tall.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
This building is taller and wider than that one.,This building is taller and wider than that one.,1,0.0,13.815511557963774,3.716922323369668,1.0
This building got taller and wider than that one.,This building is taller and wider than that one.,1,0.061224489795918366,2.85261603902062,1.6889689277842326,0.306064926191356
This building got taller and taller.,This building got taller and taller.,1,0.0,13.815511557963774,3.716922323369668,1.0
This building is taller and taller.,This building is taller and taller.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
This building got than that one.,This building got better than that one.,0,0.21875,1.7176477461686945,1.310590609675155,0.1765895710494722
This building is than that one.,This building is better than that one.,0,0.22580645161290322,1.691672397898591,1.3006430709070766,0.17318567327535794
Bill floated into the cave.,Bill floated into the cave.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill floated into the cave for hours.,Bill floated into the cave for hours.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Bill pushed Harry off the sofa for hours.,Bill pushed Harry off the sofa for hours.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Bill floated down the river for hours.,Bill floated down the river for hours.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill floated down the river.,Bill floated down the river.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill pushed Harry along the trail for hours.,Bill pushed Harry along the trail for hours.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill pushed Harry along the trail.,Bill pushed Harry along the trail.,1,0.0,13.815511557963774,3.716922323369668,1.0
The road zigzagged down the hill.,The road zigzagged down the hill.,1,0.0,13.815511557963774,3.716922323369668,1.0
The rope stretched over the pulley.,The rope stretched over the pulley.,1,0.0,13.815511557963774,3.716922323369668,1.0
The weights stretched the rope over the pulley.,The weights stretched the rope over the pulley.,1,0.0,13.815511557963774,3.716922323369668,1.0
The weights kept the rope stretched over the pulley.,The weights kept the rope stretched over the pulley.,1,0.0,13.815511557963774,3.716922323369668,1.0
Sam cut himself free.,Sam cut himself free.,1,0.0,13.815511557963774,3.716922323369668,1.0
Sam got free by cutting his finger.,Sam got free by cutting his finger.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill cried himself to sleep.,Bill cried to sleep.,1,0.2857142857142857,1.5040746745598743,1.226407222157418,0.1477832851862223
Bill cried Sue to sleep.,Bill cried Sue to sleep.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Bill squeezed himself through the hole.,Bill squeezed himself through the hole.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill sang himself to sleep.,Bill sang himself to sleep.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill squeezed the puppet through the hole.,Bill squeezed the puppet through the hole.,1,0.0,13.815511557963774,3.716922323369668,1.0
Bill sang Sue to sleep.,Bill sang Sue to sleep.,1,0.0,13.815511557963774,3.716922323369668,1.0
The elevator rumbled itself to the ground.,The elevator rumbled to the ground.,0,0.16666666666666666,1.945905006215803,1.394956990812191,0.2054584745700072
"If the telephone rang, it could ring itself silly.","If the telephone rang, it could ring itself silly.",1,0.0,13.815511557963774,3.716922323369668,1.0
She yelled hoarse.,She yelled hoarse.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Ted cried to sleep.,Ted cried to sleep.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
The tiger bled to death.,The tiger bled to death.,1,0.0,13.815511557963774,3.716922323369668,1.0
"He coughed awake and we were all overjoyed, especially Sierra.","He coughed awake and we were all overjoyed, especially Sierra.",1,0.0,13.815511557963774,3.716922323369668,1.0
"John coughed awake, rubbing his nose and cursing under his breath.","John coughed awake, rubbing his nose and cursing under his breath.",1,0.0,13.815511557963774,3.716922323369668,1.0
John coughed himself awake on the bank of the lake where he and Bill had their play.,John woke up on the bank of the lake where he and Bill had their play.,1,0.21428571428571427,1.7345972122614013,1.3170410822223433,0.178796825492734
She coughed herself awake as the leaf landed on her nose.,She coughed awake as the leaf landed on her nose.,1,0.14035087719298245,2.0949394801638763,1.4473905762315424,0.22340045688934235
The worm wriggled onto the carpet.,The worm wriggled onto the carpet.,1,0.0,13.815511557963774,3.716922323369668,1.0
The chocolate melted onto the carpet.,The chocolate melted onto the carpet.,1,0.0,13.815511557963774,3.716922323369668,1.0
The ball wriggled itself loose.,The ball wriggled itself loose.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Bill wriggled himself loose.,Bill wriggled himself loose.,1,0.0,13.815511557963774,3.716922323369668,1.0
Aliza wriggled her tooth loose.,Aliza wriggled her teeth loose.,1,0.06451612903225806,2.803345820420157,1.674319509657627,0.30105211619726585
The off center spinning flywheel shook itself loose.,The off center spinning flywheel shook itself loose.,1,0.0,13.815511557963774,3.716922323369668,1.0
"The more you eat, the less you want.","The more you eat, the less you want.",1,0.0,13.815511557963774,3.716922323369668,1.0
"If you eat more, you want correspondingly less.","If you eat more, you want correspondingly less.",1,0.0,13.815511557963774,3.716922323369668,1.0
"When you eat more, you want correspondingly less.","When you eat more, you want correspondingly less.",1,0.0,13.815511557963774,3.716922323369668,1.0
"As you eat more, you want correspondingly less.","As you eat more, you want correspondingly less.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The most you want, the least you eat.","The more you want, the less you eat.",0,0.10810810810810811,2.327269358065815,1.5255390385256664,0.25014168233769624
"The angrier Sue gets, the more Fred admires her.","The angrier Sue gets, the more Fred admires her.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more that you eat, the less that you want.","The more that you eat, the less that you want.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The angrier that Sue gets, the more that Fred admires her.","The angrier that Sue gets, the more Fred admires her.",1,0.08620689655172414,2.5336861346592086,1.5917556768107373,0.2728000175221919
"I think that the more you eat, the less you want.","I think that the more you eat, the less you want.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I'm not shocked by the idea that the more you eat, the less you want.","I'm not shocked by the idea that the more you eat, the less you want.",1,0.0,13.815511557963774,3.716922323369668,1.0
"It is obvious that the more you eat, the less you want.","It is obvious that the more you eat, the less you want.",1,0.0,13.815511557963774,3.716922323369668,1.0
"It is not entirely clear if the more you eat, the less you want.","It is not entirely clear if the more you eat, the less you want.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I want to explain exactly why the more you eat, the less you want.","I want to explain exactly why the more you eat, the less you want.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I demand that the more John eats, the more he pays.","I demand that the more John eats, the more he pays.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I demand that the more John eat, the more he pay.","I demand that the more John eats, the more he pays.",0,0.04081632653061224,3.238654913248353,1.7996263260044716,0.34393021933299955
"I demand that John pay more, the more he eats.","I demand that John pay more, the more he eats.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I demand that John pays more, the more he eat.","I demand that John pay more, the more he eats.",0,0.043478260869565216,3.1780317889453156,1.7827035056187317,0.3381394853649546
"You get angrier, the more we eat, don't you.","You get angrier, the more we eat, don't you.",1,0.0,13.815511557963774,3.716922323369668,1.0
"You get angrier, the more we eat, don't we.","You get angrier, the more we eat, don't we?",0,0.023255813953488372,3.7841476121149844,1.9452885678261167,0.3937736421402855
"The harder it has rained, how much faster a flow that appears in the river?","The harder it has rained, how much faster a flow appears in the river?",0,0.06666666666666667,2.772574659851841,1.665104999647722,0.29789904981134524
"The harder it has rained, how much faster a flow appears in the river?","The harder it has rained, how much faster a flow appears in the river?",1,0.0,13.815511557963774,3.716922323369668,1.0
"The harder it rains, how much faster that do you run?","The harder it rains, how much faster do you run?",0,0.09433962264150944,2.4509954119611845,1.5655655246463447,0.2638381423554252
"The harder it rains, how much faster do you run?","The harder it rains, how much faster do you run?",1,0.0,13.815511557963774,3.716922323369668,1.0
"The harder it rains, how much faster a flow do you see in the river?","The harder it rains, how much faster a flow does it see in the river?",1,0.07352941176470588,2.6810088603131854,1.6373786551415606,0.28841151278844795
"The harder it rains, how much faster a flow that do you see in the river?","The harder it rains, how much faster a flow that you see in the river?",0,0.0410958904109589,3.2320976791067935,1.7978035707792976,0.343306499979059
"When it rains harder, how much faster a flow appears in the river?","When it rains harder, how much faster does the flow appear in the river?",1,0.13636363636363635,2.1202570828932594,1.4561102578078555,0.22638420044647667
"As it rains harder, how much faster a flow appears in the river?","As it rains harder, how much faster does the flow appear in the river?",1,0.140625,2.093228629438289,1.4467994434054392,0.22319818014954862
"As it rains harder, how much faster a flow that appears in the river?","As it rains harder, how much faster does the flow appear in the river?",0,0.18840579710144928,1.8417654235875551,1.3571165843756958,0.1925100580577639
"When it rains harder, how much faster a flow that appears in the river?","When it rains harder, how much faster does the flow appear in the river?",0,0.18309859154929578,1.8658628250959675,1.365965894558121,0.19553815856932621
"How much harder has it rained, the faster a flow you see in the river?","How much harder it has rained, the faster a flow you see in the river?",1,0.08571428571428572,2.538963125511872,1.5934124153877651,0.2733669284823916
"How much harder has it rained, when you see a faster flow in the river?","How much harder has it rained, when you see a faster flow in the river?",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more John eats, the tighter keep your mouth shut about it.","The more John eats, the tighter you keep your mouth shut about it.",0,0.06451612903225806,2.803345820420157,1.674319509657627,0.30105211619726585
"The more everyone eat, the more John keeps his big mouth shut about it, OK?","The more everyone eats, the more John keeps his big mouth shut about it, OK?",0,0.013333333333333334,4.330659329940309,2.0810236255122883,0.4402201322218204
"When John eats more, keep your mouth shut tighter, OK?","When John eats more, keep your mouth shut tighter, OK?",1,0.0,13.815511557963774,3.716922323369668,1.0
"As John eats more, keep your mouth shut tighter, OK?","As John eats more, keep your mouth shut tighter, OK?",1,0.0,13.815511557963774,3.716922323369668,1.0
"Keep your mouth shut tighter, the more John eats, OK?","Keep your mouth shut, the more John eats, OK?",1,0.1509433962264151,2.031426566367502,1.425281223607293,0.21583496979355
"Everyone keep your mouth shut tighter, the more John eats, OK?","Everyone keep your mouth shut tighter, the more John eats, OK?",1,0.0,13.815511557963774,3.716922323369668,1.0
"I can well imagine the more him eating, the fatter him getting.","I can well imagine the more he eats, the fatter he gets.",0,0.1746031746031746,1.9061649445004618,1.3806393245523836,0.2005591850624696
Bill can well imagine getting fat.,Bill can well imagine getting fat.,1,0.0,13.815511557963774,3.716922323369668,1.0
"Bill can well imagine the more he eats, the fatter getting.","Bill can well imagine the more he eats, the fatter he gets.",0,0.1016949152542373,2.3826188750744914,1.54357341097678,0.25631277266215774
"Fred can well imagine Joe getting fatter, the more he eats.","Fred can well imagine Joe getting fatter, the more he eats.",1,0.0,13.815511557963774,3.716922323369668,1.0
"It is important the more you eat, the more careful to be.","It is important the more you eat, the more careful you are.",0,0.07017543859649122,2.7245661875807436,1.6506259986989007,0.29294455400588565
"It is important for the more you eat, the more careful to be.","It is important that the more you eat, the more careful you are.",0,0.13114754098360656,2.1546582220040738,1.467875410926988,0.23041005844492352
"It is important the more you to eat, the more careful to be.","It is important the more you eat, the more careful you are.",0,0.11666666666666667,2.2587747944658028,1.502922085294445,0.24240250196797003
"It is important the more you eat, the more careful you to be.","It is important the more you eat, the more careful you are.",0,0.06557377049180328,2.7880785973531244,1.6697540529530464,0.299489885752444
"It is important the more you eat, the more careful for you to be.","It is important the more you eat, the more careful you are.",0,0.12307692307692308,2.2110106649121253,1.4869467592728818,0.23693598628470885
"It is important for the more you to eat, the more careful to be.","It is important that the more you eat, the more careful you are.",0,0.171875,1.9195878759060165,1.3854919256011622,0.20221967197221735
"It is important for the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you are.",0,0.20833333333333334,1.757853945149758,1.3258408445774168,0.18180797148487532
"It is important the more you to eat, the more careful for you to be.","It is important the more you eat, the more careful you are.",0,0.16176470588235295,1.9715472586286997,1.404117964641397,0.20859322168212907
"It is important for the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you are.",0,0.12307692307692308,2.2110106649121253,1.4869467592728818,0.23693598628470885
"It is important for you to be more careful, the more you eat.","It is important for you to be more careful, the more you eat.",1,0.0,13.815511557963774,3.716922323369668,1.0
"It is important to be more careful, the more you eat.","It is important to be more careful, the more you eat.",1,0.0,13.815511557963774,3.716922323369668,1.0
I can well imagine quickly Mary answering the question.,I can well imagine Mary quickly answering the question.,0,0.18181818181818182,1.8717975230702044,1.3681365147784794,0.19628091207939402
I can well imagine with a hatchet Mary destroying the Jeep.,I can well imagine with a hatchet Mary destroying the Jeep.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"I can well imagine if he eats more, him getting fat.","I can well imagine if he eats more, he gets fatter.",0,0.17307692307692307,1.9136443615346583,1.383345351506506,0.2014851466837893
"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.","It is not entirely obvious if Mary listens to the Grateful Dead, she gets depressed.",0,0.011764705882352941,4.454263288237407,2.110512565287733,0.4503108027688644
"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.","It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
Mary listens to the Grateful Dead and she gets depressed.,Mary listens to the Grateful Dead and she gets depressed.,1,0.0,13.815511557963774,3.716922323369668,1.0
"If Mary listens to the Grateful Dead, she gets depressed.","If Mary listens to the Grateful Dead, she gets depressed.",1,0.0,13.815511557963774,3.716922323369668,1.0
"When Mary listens to the Grateful Dead, she gets depressed.","When Mary listens to the Grateful Dead, she gets depressed.",1,0.0,13.815511557963774,3.716922323369668,1.0
Mary gets depressed if she listens to the Grateful Dead.,Mary gets depressed if she listens to the Grateful Dead.,1,0.0,13.815511557963774,3.716922323369668,1.0
Mary gets depressed when she listens to the Grateful Dead.,Mary gets depressed when she listens to the Grateful Dead.,1,0.0,13.815511557963774,3.716922323369668,1.0
"The more she looked at pictures, the angrier Mary got.","The more she looked at pictures, the angrier Mary got.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more pictures Mary looked at, she got angrier and angrier.","The more pictures Mary looked at, the more she got angrier and angrier.",0,0.14516129032258066,2.0654492840789906,1.437167103742286,0.21990213875646197
Mary gets depressed and she listens to the Grateful Dead.,Mary gets depressed and she listens to the Grateful Dead.,1,0.0,13.815511557963774,3.716922323369668,1.0
"The higher the stakes are, the lower his expectations are.","The higher the stakes are, the lower his expectations are.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The higher the stakes, the lower his expectations.","The higher the stakes, the lower his expectations.",1,0.0,13.815511557963774,3.716922323369668,1.0
"His expectations are lower, the higher the stakes.","His expectations are lower, the higher the stakes.",1,0.0,13.815511557963774,3.716922323369668,1.0
"His expectations are lower, the higher the stakes are.","His expectations are lower, the higher the stakes are.",1,0.0,13.815511557963774,3.716922323369668,1.0
"His expectations lower, the higher the stakes.","His expectations are lower, the higher the stakes.",0,0.08695652173913043,2.5257180643739567,1.5892507871239065,0.27194288204092426
"His expectations lower, the higher the stakes are.","His expectations are lower, the higher the stakes are.",0,0.08,2.6026781114480055,1.613281783027381,0.2801659264916863
"The more obnoxious Fred is, the less attention you should pay to him.","The more obnoxious Fred is, the less attention you should pay to him.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more obnoxious Fred, the less attention you should pay to him.","The more obnoxious Fred, the less attention you should pay to him.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The more Fred is obnoxious, the less you should pay attention to him.","The more Fred is obnoxious, the less you should pay attention to him.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more obnoxious Fred, the less you should pay attention to him.","The more obnoxious Fred, the less you should pay attention to him.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
His expectations are always lower than mine.,His expectations are always lower than mine.,1,0.0,13.815511557963774,3.716922323369668,1.0
John was lots more obnoxious than Fred was.,John was lots more obnoxious than Fred was.,1,0.0,13.815511557963774,3.716922323369668,1.0
"You should always lock your door, no matter how fancy the hotel might be.","You should always lock your door, no matter how fancy the hotel might be.",1,0.0,13.815511557963774,3.716922323369668,1.0
"You should always lock your door, no matter how fancy the hotel.","You should always lock your door, no matter how fancy the hotel.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I don't plan to lock the door, no matter how fancy this hotel is.","I don't plan on locking the door, no matter how fancy this hotel is.",1,0.07692307692307693,2.6390452582707553,1.6245138529020784,0.28400937144189525
"I don't plan to lock the door, no matter how fancy this hotel.","I don't plan on locking the door, no matter how fancy this hotel is.",0,0.12903225806451613,2.1690468361134476,1.4727684258271725,0.2320843743652488
"I'm going out, whatever the weather.","I'm going out, whatever the weather.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I'm going out, wherever that hurricane might be.","I'm going out, wherever that hurricane might be.",1,0.0,13.815511557963774,3.716922323369668,1.0
"I'm going out, wherever that hurricane.","I'm going out, wherever that hurricane is.",0,0.07692307692307693,2.6390452582707553,1.6245138529020784,0.28400937144189525
The more examples Mary says that Bill has helped Fred to discover the less I believe her.,"The more examples Mary says that Bill has helped Fred discover, the less I believe her.",1,0.0449438202247191,3.146283839269682,1.7737767162948335,0.3350848726594366
The more food Mary knows a man that eats the poorer she gets.,"The more food Mary knows a man that eats, the poorer she gets.",0,0.01639344262295082,4.127074370776,2.031520211756703,0.42328081046371596
The fatter he goes to a doctor when he gets the more he eats.,The fatter he goes to a doctor when he gets the more he eats.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The fatter that that he gets bothers him, the more he eats.","The fatter that he gets, the more he eats.",0,0.288135593220339,1.4975173019633905,1.2237308944222134,0.14686748618980144
"The more books I ask to whom he will give, the more he reads.","The more books I ask to whom I will give, the more he reads.",0,0.03278688524590164,3.4499580145502025,1.8574062599631247,0.36370164150844936
The more people I ask what he will give to the more he reads.,The more people I ask what he will give to the more he reads.,0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
The more carefully he words the letter the safer he'll be.,"The more carefully he writes the letter, the safer he'll be.",1,0.08620689655172414,2.5336861346592086,1.5917556768107373,0.2728000175221919
The more carefully he knows a man that worded the letter the safer he'll be.,"The more carefully he knows a man that worded the letter, the safer he'll be.",0,0.013157894736842105,4.343730411754038,2.0841618007616485,0.4412939684736937
"The more geniuses John meets, the angrier he gets.","The more geniuses John meets, the angrier he gets.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more John meets geniuses, the angrier he gets.","The more John meets geniuses, the angrier he gets.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The more people you say will buy tickets, the happier I'll be.","The more people you say will buy tickets, the happier I'll be.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more people you say that will buy tickets, the happier I'll be.","The more people you say will buy tickets, the happier I'll be.",0,0.07462686567164178,2.667215737226857,1.633161271040572,0.2869683875402201
"The more people you say that right after the show opens will buy tickets, the happier I'll be.","The more people you say that right after the show opens will buy tickets, the happier I'll be.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.","The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more he eats, the poorer he knows a woman that gets.","The more he eats, the poorer he knows a woman that gets.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The more he eats, the fatter he goes to a doctor when he gets.","The more he eats, the fatter he goes to a doctor when he gets.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The more he eats, the fatter that that he gets really bothers me.","The more he eats, the fatter that he gets really bothers me.",0,0.07692307692307693,2.6390452582707553,1.6245138529020784,0.28400937144189525
"The more he reads, the more books I wonder to whom he will give.","The more he reads, the more books I wonder to whom he will give.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The more he reads, the more people I wonder what he will give to.","The more he reads, the more people I wonder what he will give to.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The sooner you call, the more carefully I know a man that will word the letter.","The sooner you call, the more carefully you know a man that will read the letter.",0,0.0759493670886076,2.6508795500936073,1.6281521888612278,0.2852543551470677
"The richer John gets, the more geniuses John meets.","The richer John gets, the more geniuses John meets.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The richer he gets, the more John meets geniuses.","The richer he gets, the more John meets geniuses.",0,0.1,2.397886181938866,1.548510956350928,0.25800232623922786
"The more articles he reads, the fewer people he thinks will go into linguistics.","The more articles he reads, the fewer people he thinks will go into linguistics.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more articles he reads, the fewer people he thinks that will go into linguistics.","The more articles he reads, the fewer people he thinks will go into linguistics.",0,0.058823529411764705,2.8903557024846616,1.7001046151589205,0.3098753905033494
"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.","The more articles he reads, the fewer people he thinks will go into linguistics.",1,0.3162393162393162,1.4260322873522133,1.1941659379467384,0.13675080387421235
"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.","The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more people that arrive, the louder that it gets.","The more people that arrive, the louder it gets.",1,0.09433962264150944,2.4509954119611845,1.5655655246463447,0.2638381423554252
"The more people that arrive, the louder it gets.","The more people that arrive, the louder it gets.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more people you give beer to, the more people that get sick.","The more people you give beer to, the more people that get sick.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more people that you give beer to, the more people that get sick.","The more people that you give beer to, the more people that get sick.",1,0.0,13.815511557963774,3.716922323369668,1.0
"The more people arrive, the louder that it gets.","The more people arrive, the louder it gets.",1,0.10416666666666667,2.3608453068240682,1.536504248879276,0.25389381198358624
